concept_path;concept_cd;name_char;concept_blob;update_date;download_date;import_date;sourcesystem_cd;upload_id
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94505-5\;LOINC:94505-5;SARS-CoV-2 IgG (quantitative) (LOINC:94505-5);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94505-5\LOINC_94505-5 EQUIVOCAL\;LOINC:94505-5 EQUIVOCAL;LOINC:94505-5 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94505-5\LOINC_94505-5 NEGATIVE\;LOINC:94505-5 NEGATIVE;LOINC:94505-5 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94505-5\LOINC_94505-5 PENDING\;LOINC:94505-5 PENDING;LOINC:94505-5 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94505-5\LOINC_94505-5 POSITIVE\;LOINC:94505-5 POSITIVE;LOINC:94505-5 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94506-3\;LOINC:94506-3;SARS-CoV-2 IgM (quantitative) (LOINC:94506-3);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94506-3\LOINC_94506-3 EQUIVOCAL\;LOINC:94506-3 EQUIVOCAL;LOINC:94506-3 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94506-3\LOINC_94506-3 NEGATIVE\;LOINC:94506-3 NEGATIVE;LOINC:94506-3 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94506-3\LOINC_94506-3 PENDING\;LOINC:94506-3 PENDING;LOINC:94506-3 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94506-3\LOINC_94506-3 POSITIVE\;LOINC:94506-3 POSITIVE;LOINC:94506-3 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94507-1\;LOINC:94507-1;SARS-CoV-2 IgG (qualitative) (LOINC:94507-1);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94507-1\LOINC_94507-1 EQUIVOCAL\;LOINC:94507-1 EQUIVOCAL;LOINC:94507-1 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94507-1\LOINC_94507-1 NEGATIVE\;LOINC:94507-1 NEGATIVE;LOINC:94507-1 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94507-1\LOINC_94507-1 PENDING\;LOINC:94507-1 PENDING;LOINC:94507-1 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94507-1\LOINC_94507-1 POSITIVE\;LOINC:94507-1 POSITIVE;LOINC:94507-1 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94508-9\;LOINC:94508-9;SARS-CoV-2 IgM (qualitative) (LOINC:94508-9);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94508-9\LOINC_94508-9 EQUIVOCAL\;LOINC:94508-9 EQUIVOCAL;LOINC:94508-9 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94508-9\LOINC_94508-9 NEGATIVE\;LOINC:94508-9 NEGATIVE;LOINC:94508-9 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94508-9\LOINC_94508-9 PENDING\;LOINC:94508-9 PENDING;LOINC:94508-9 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94508-9\LOINC_94508-9 POSITIVE\;LOINC:94508-9 POSITIVE;LOINC:94508-9 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94547-7\;LOINC:94547-7;SARS-CoV-2 IgG + IgM (LOINC:94547-7);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94547-7\LOINC_94547-7 EQUIVOCAL\;LOINC:94547-7 EQUIVOCAL;LOINC:94547-7 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94547-7\LOINC_94547-7 NEGATIVE\;LOINC:94547-7 NEGATIVE;LOINC:94547-7 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94547-7\LOINC_94547-7 PENDING\;LOINC:94547-7 PENDING;LOINC:94547-7 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_120646007\LOINC_94547-7\LOINC_94547-7 POSITIVE\;LOINC:94547-7 POSITIVE;LOINC:94547-7 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94500-6\;LOINC:94500-6;SARS-CoV-2 RNA (qualitative) (LOINC:94500-6);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94500-6\LOINC_94500-6 EQUIVOCAL\;LOINC:94500-6 EQUIVOCAL;LOINC:94500-6 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94500-6\LOINC_94500-6 NEGATIVE\;LOINC:94500-6 NEGATIVE;LOINC:94500-6 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94500-6\LOINC_94500-6 PENDING\;LOINC:94500-6 PENDING;LOINC:94500-6 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94500-6\LOINC_94500-6 POSITIVE\;LOINC:94500-6 POSITIVE;LOINC:94500-6 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94502-2\;LOINC:94502-2;SARS-CoV + SARS-like + SARS-CoV-2 (qualitative) (LOINC:94502-2);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94502-2\LOINC_94502-2 EQUIVOCAL\;LOINC:94502-2 EQUIVOCAL;LOINC:94502-2 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94502-2\LOINC_94502-2 NEGATIVE\;LOINC:94502-2 NEGATIVE;LOINC:94502-2 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94502-2\LOINC_94502-2 PENDING\;LOINC:94502-2 PENDING;LOINC:94502-2 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94502-2\LOINC_94502-2 POSITIVE\;LOINC:94502-2 POSITIVE;LOINC:94502-2 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94532-9\;LOINC:94532-9;SARS-CoV + SARS-like + SARS-CoV-2 + MERS (qualitative) (LOINC:94532-9);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94532-9\LOINC_94532-9 EQUIVOCAL\;LOINC:94532-9 EQUIVOCAL;LOINC:94532-9 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94532-9\LOINC_94532-9 NEGATIVE\;LOINC:94532-9 NEGATIVE;LOINC:94532-9 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94532-9\LOINC_94532-9 PENDING\;LOINC:94532-9 PENDING;LOINC:94532-9 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94532-9\LOINC_94532-9 POSITIVE\;LOINC:94532-9 POSITIVE;LOINC:94532-9 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94533-7\;LOINC:94533-7;SARS-CoV-2 N gene (qualitative) (LOINC:94533-7);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94533-7\LOINC_94533-7 EQUIVOCAL\;LOINC:94533-7 EQUIVOCAL;LOINC:94533-7 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94533-7\LOINC_94533-7 NEGATIVE\;LOINC:94533-7 NEGATIVE;LOINC:94533-7 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94533-7\LOINC_94533-7 PENDING\;LOINC:94533-7 PENDING;LOINC:94533-7 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94533-7\LOINC_94533-7 POSITIVE\;LOINC:94533-7 POSITIVE;LOINC:94533-7 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94534-5\;LOINC:94534-5;SARS-CoV-2 RdRp gene (qualitative) (LOINC:94534-5);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94534-5\LOINC_94534-5 EQUIVOCAL\;LOINC:94534-5 EQUIVOCAL;LOINC:94534-5 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94534-5\LOINC_94534-5 NEGATIVE\;LOINC:94534-5 NEGATIVE;LOINC:94534-5 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94534-5\LOINC_94534-5 PENDING\;LOINC:94534-5 PENDING;LOINC:94534-5 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_258603007\LOINC_94534-5\LOINC_94534-5 POSITIVE\;LOINC:94534-5 POSITIVE;LOINC:94534-5 POSITIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_430304001\LOINC_94307-6\;LOINC:94307-6;SARS-CoV-2 N gene (qualitative, CDC primer-probe set N1) (LOINC:94307-6);NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_430304001\LOINC_94307-6\LOINC_94307-6 EQUIVOCAL\;LOINC:94307-6 EQUIVOCAL;LOINC:94307-6 EQUIVOCAL;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_430304001\LOINC_94307-6\LOINC_94307-6 NEGATIVE\;LOINC:94307-6 NEGATIVE;LOINC:94307-6 NEGATIVE;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0022885\SNOMED_430304001\LOINC_94307-6\LOINC_94307-6 PENDING\;LOINC:94307-6 PENDING;LOINC:94307-6 PENDING;NULL;2020-03-26;2020-03-26;2020-03-26;ACT;2020025
