concept_path;concept_cd;name_char;concept_blob;update_date;download_date;import_date;sourcesystem_cd;upload_id
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17799079\;ICD10CM:B34.2;Coronavirus infection, unspecified (ICD10CM:B34.2);NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17850346\;ICD10CM:B97.21;SARS-associated coronavirus as the cause of diseases classified elsewhere (ICD10CM:B97.21);NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17862489\;ICD10CM:Z20.828;Contact with and (suspected) exposure to other viral communicable diseases (ICD10CM:Z20.828);NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A28398474\;ICD10CM:R06.03;Acute respiratory distress (ICD10CM:R06.03);NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\;RXNORM:11124;Antibiotics;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\;RXNORM:11124;Vancomycin;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\;RXNORM:1807507;Vancomycin Injection;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\;RXNORM:1807508;200 Ml Vancomycin 5 Mg/Ml Injection;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00002746712\;NDC:00002746712;NDC:00002746712;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00074433201\;NDC:00074433201;NDC:00074433201;NULL;2020-04-15;2020-04-15;2020-04-15;ACT;2020025
