c_hlevel;c_fullname;c_name;c_synonym_cd;c_visualattributes;c_totalnum;c_basecode;c_metadataxml;c_facttablecolumn;c_tablename;c_columnname;c_columndatatype;c_operator;c_dimcode;c_comment;c_tooltip;m_applied_path;update_date;download_date;import_date;sourcesystem_cd;valuetype_cd;m_exclusion_cd;c_path;c_symbol
3;\ACT\UMLS_C0031437\SNOMED_3947185011\TotalPatientCount\;Total Patient Count;N;LA ;NULL;NULL;NULL;patient_num;patient_dimension;patient_num;N;>;-1;NULL;\ACT\ACT Phenotype\COVID-19 Related Terms\TotalPatientCount\;@;2020-04-15;2020-04-15;2020-04-15;ACT;NULL;NULL;NULL;NULL
5;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17799079\;Coronavirus infection, unspecified (ICD10CM:B34.2);N;LA ;NULL;ICD10CM:B34.2; ;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17799079\;UMLS_Metathesaurus_2018AA;Diagnosis ICD-10-CM\Certain infectious and pa\Other viral diseases (B25\Viral infection of unspec\Coronavirus infection, un\;@;2020-04-15;2020-04-15;2020-04-15;ACT;NULL;NULL;NULL;NULL
5;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17850346\;SARS-associated coronavirus as the cause of diseases classified elsewhere (ICD10CM:B97.21);N;LA ;NULL;ICD10CM:B97.21; ;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17850346\;UMLS_Metathesaurus_2018AA;Diagnosis ICD-10-CM\Certain infectious and pa\Bacterial and viral infec\Viral agents as the cause\Coronavirus as the cause \SARS-associated coronavir\;@;2020-04-15;2020-04-15;2020-04-15;ACT;NULL;NULL;NULL;NULL
5;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17862489\;Contact with and (suspected) exposure to other viral communicable diseases (ICD10CM:Z20.828);N;LA ;NULL;ICD10CM:Z20.828; ;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A17862489\;UMLS_Metathesaurus_2018AA;Diagnosis ICD-10-CM\Factors influencing healt\Persons with potential he\Contact with and (suspect\Contact with and (suspect\Contact with and (suspect\Contact with and (suspect\;@;2020-04-15;2020-04-15;2020-04-15;ACT;NULL;NULL;NULL;NULL
5;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A28398474\;Acute respiratory distress (ICD10CM:R06.03);N;LA ;NULL;ICD10CM:R06.03; ;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0037088\UMLS_C0478147\A28398474\;UMLS_Metathesaurus_2018AA;Diagnosis ICD-10-CM\Symptoms, signs and abnor\Symptoms and signs involv\Abnormalities of breathin\Dyspnea\Acute respiratory distres\;@;2020-04-15;2020-04-15;2020-04-15;ACT;NULL;NULL;NULL;NULL
5;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\;Antibiotics;N;FA ;NULL;RXNORM:11124;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:11124:IN:IN;MEDS;NULL;NULL;NULL
6;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\;Vancomycin;N;FA ;NULL;RXNORM:11124;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:11124:IN:IN;MEDS;NULL;NULL;NULL
7;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\;Vancomycin Injection;N;FA ;NULL;RXNORM:1807507;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin\Vancomycin Injection;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:1807507:undefined:SCDF;MEDS;NULL;NULL;NULL
8;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\;200 Ml Vancomycin 5 Mg/Ml Injection;N;FA ;NULL;RXNORM:1807508;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\Vancomycin\Vancomycin Injection\200 Ml Vancomycin 5 Mg/Ml Inje;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:1807508:undefined:SCD;MEDS;NULL;NULL;NULL
9;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00002746712\;NDC:00002746712;N;LI ;NULL;NDC:00002746712;NULL;concept_cd;concept_dimension;concept_path;T;LIKE;\ACT\UMLS_C0031437\SNOMED_3947185011\UMLS_C0087111\UMLS_C0013227\UMLS_C0003232\11124\1807507\1807508\00002746712\;UPitt.DBMI.MMorris RxNav API 2018.12.12;Medications Alphabetical\V [Preparations]\VancomycinVancomycin Injection200 ML Vancomycin 5 MG/ML Injection\200 ML Vancomycin 5 MG/ML Injection\NDC:00002746712;@;2020-04-15;2020-04-15;2020-04-15;buildmedont.py:00002746712:ndc:ndc;MEDS;NULL;NULL;NULL
